中学一年生レベル1,y=2(-2<x<2),x=-2(-2<y<2),y=-2(-2<x<2),x=2(-2<y<2),y=-3(-2<x<2),x=3(-2<y<2),y=-3(-2<x<2),x=-3(-2<y<2),y=-4(-2<x<2),x=4(-2<y<2)
中学一年生レベル2,y=2(-5<x<5),y=-2(-5<x<5),x=-5(-2<y<2),x=5(-2<y<2),y=3(-5<x<5),y=-3(-5<x<5),x=-4(-2<y<2),x=4(-2<y<2),y=x(-2<x<2),x=y(-5<x<5)
中学一年生レベル3,x=2(-4<y<4),x=-2(-4<y<4),y=2(-4<x<4),y=-2(-4<x<),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
中学二年生レベル1,y=2x+4(-3<x<0),y=-2x+4(0<x<3),y=-2(-3<x<3),y=2x+5(-2<x<0),y=0.5x+4(-2<x<4),y=-2x+2(0<x<4),y=2x-4(0<x<2),y=-0.5x-4(0<x<2),x=2(-2<y<2),x=-4(-2<y<2)
中学二年生レベル2,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
中学二年生レベル3,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
中学三年生レベル1,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
中学三年生レベル2,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
中学三年生レベル3,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
高校一年生レベル1,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
高校一年生レベル2,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
高校一年生レベル3,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
高校二年生レベル1,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
高校二年生レベル2,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
高校二年生レベル3,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
高校三年生レベル1,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
高校三年生レベル2,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10
高校三年生レベル3,解答1(上線),解答2(左線),解答3(下線),解答4(右線),解答5,解答6,解答7,解答8,解答9,解答10